image_id,video_id,frame_index
jsladjf9411593,jsladjf94,11593
jsladjf9411594,jsladjf94,11594
jsladjf9412130,jsladjf94,12130
jsladjf9412371,jsladjf94,12371
jsladjf9412395,jsladjf94,12395
jsladjf9412664,jsladjf94,12664
jsladjf9413003,jsladjf94,13003
jsladjf9413004,jsladjf94,13004
jsladjf9413201,jsladjf94,13201
jsladjf9413202,jsladjf94,13202
jsladjf9413301,jsladjf94,13301
jsladjf9413345,jsladjf94,13345
jsladjf9413585,jsladjf94,13585
jsladjf9413586,jsladjf94,13586
jsladjf9413768,jsladjf94,13768
jsladjf9413769,jsladjf94,13769
jsladjf9413816,jsladjf94,13816
jsladjf9414167,jsladjf94,14167
jsladjf9414320,jsladjf94,14320
jsladjf9414324,jsladjf94,14324
jsladjf9414327,jsladjf94,14327
jsladjf9414450,jsladjf94,14450
jsladjf9414498,jsladjf94,14498
jsladjf9414606,jsladjf94,14606
jsladjf9414635,jsladjf94,14635
jsladjf9414636,jsladjf94,14636
jsladjf9414857,jsladjf94,14857
jsladjf9416216,jsladjf94,16216
jsladjf9416970,jsladjf94,16970
jsladjf9417693,jsladjf94,17693
jsladjf9417992,jsladjf94,17992
jsladjf9418262,jsladjf94,18262
jsladjf9418263,jsladjf94,18263
jsladjf9418350,jsladjf94,18350
jsladjf9419058,jsladjf94,19058
jsladjf9419225,jsladjf94,19225
jsladjf9419402,jsladjf94,19402
jsladjf9419628,jsladjf94,19628
jsladjf9419729,jsladjf94,19729
jsladjf9419730,jsladjf94,19730
jsladjf9419837,jsladjf94,19837
jsladjf9419948,jsladjf94,19948
jsladjf9419949,jsladjf94,19949
jsladjf9420086,jsladjf94,20086
jsladjf9420087,jsladjf94,20087
jsladjf9420089,jsladjf94,20089
jsladjf9420143,jsladjf94,20143
jsladjf9420197,jsladjf94,20197
jsladjf9420399,jsladjf94,20399
jsladjf9420470,jsladjf94,20470
jsladjf9420471,jsladjf94,20471
jsladjf9420719,jsladjf94,20719
jsladjf9420731,jsladjf94,20731
jsladjf9420882,jsladjf94,20882
jsladjf9420884,jsladjf94,20884
jsladjf9421007,jsladjf94,21007
jsladjf9421008,jsladjf94,21008
jsladjf9421223,jsladjf94,21223
jsladjf9421224,jsladjf94,21224
jsladjf9421413,jsladjf94,21413
jsladjf9421415,jsladjf94,21415
jsladjf9421424,jsladjf94,21424
jsladjf9421425,jsladjf94,21425
jsladjf9421538,jsladjf94,21538
jsladjf9421785,jsladjf94,21785
jsladjf9422222,jsladjf94,22222
jsladjf9422223,jsladjf94,22223
jsladjf9422252,jsladjf94,22252
jsladjf9422393,jsladjf94,22393
jsladjf9422394,jsladjf94,22394
jsladjf9422885,jsladjf94,22885
jsladjf9423033,jsladjf94,23033
jsladjf9423287,jsladjf94,23287
jsladjf9423446,jsladjf94,23446
jsladjf9423447,jsladjf94,23447
jsladjf9424118,jsladjf94,24118
jsladjf9424145,jsladjf94,24145
jsladjf9424148,jsladjf94,24148
jsladjf9424166,jsladjf94,24166
jsladjf9424512,jsladjf94,24512
jsladjf9424716,jsladjf94,24716
jsladjf9424959,jsladjf94,24959
jsladjf9425001,jsladjf94,25001
jsladjf9425058,jsladjf94,25058
jsladjf9425060,jsladjf94,25060
jsladjf9425087,jsladjf94,25087
jsladjf9425178,jsladjf94,25178
jsladjf9425180,jsladjf94,25180
jsladjf9425181,jsladjf94,25181
jsladjf9425183,jsladjf94,25183
